Province/Territory,Declared state of emergency,Closed K-12 schools,Closed daycares,Restricted visits to long-term care homes,Banned visits to long-term care homes,Closed non-essential businesses,Restricted restaurant capacity,Closed restaurants except take out,Closed bars,Closed cannabis and liquor stores,Closed gyms,Closed movie theaters,Froze evictions,Ordered freezing utility shut offs,Fines for not respecting social distancing,Fines for not respecting self-isolation,Fines for profiteering,Intra-provincial travel restrictions,Restrictions on Interprovincial/territorial travel,Order self-isolation for domestic travellers,Released modelling of pandemic
Alberta,Order self-isolation for domestic travellers,NA,,,,,,,,,,,,,,,,,,,
British Columbia,Order self-isolation for domestic travellers,NA,,,,,,,,,,,,,,,,,,,
Yukon,Order self-isolation for domestic travellers,22-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Order self-isolation for domestic travellers,21-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Order self-isolation for domestic travellers,24-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Nova Scotia,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
New Brunswick,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Quebec,Released modelling of pandemic,7/4/2020,,,,,,,,,,,,,,,,,,,
Ontario,Released modelling of pandemic,3/4/2020,,,,,,,,,,,,,,,,,,,
Manitoba,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Saskatchewan,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Alberta,Released modelling of pandemic,7/4/2020,,,,,,,,,,,,,,,,,,,
British Columbia,Released modelling of pandemic,27-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Released modelling of pandemic,NA,,,,,,,,,,,,,,,,,,,
